tree_id,lon,lat,x,y
144,-73.12248418722093,7.141209047976316,1105498.2874445517,1281551.7981147324
145,-73.1221977903664,7.14118185120587,1105529.9338460097,1281548.8555552235
146,-73.11796668682443,7.141008428669469,1105997.4122675469,1281530.6449982626
147,-73.11692352355591,7.141187967298589,1106112.6162728546,1281550.7432349084
148,-73.12212998084328,7.141165146126343,1105537.429046355,1281547.0233955292
149,-73.12332805303615,7.14116812731083,1105405.0693602571,1281547.07891552
150,-73.1207148149447,7.14115869993535,1105693.773373558,1281546.6347555942
151,-73.11950419882606,7.141146650651851,1105827.5210597198,1281545.5798757703
152,-73.11732163686716,7.141142615730739,1106068.6444308287,1281545.6353957609
153,-73.11700001434347,7.141138432589109,1106104.1772324657,1281545.2467558258
154,-73.12053601459132,7.141107129239765,1105713.5384944687,1281540.9717165392
155,-73.12330865658296,7.141070204994974,1105407.2346403569,1281536.2525173267
156,-73.12250712304674,7.1408120451679595,1105495.8445644393,1281507.8818020616
157,-73.11702237148066,7.141021020697363,1106101.7343523533,1281532.255077994
158,-73.11663187611107,7.141028238993066,1106144.8733943407,1281533.1433978458
159,-73.11683538542908,7.14103920390184,1106122.3877933046,1281534.3093176512
160,-73.11789932988158,7.141015817976136,1106004.8519478897,1281531.4777981236
161,-73.12018906251161,7.140958331428946,1105751.902816236,1281524.5933192726
162,-73.12183326088257,7.141026994643524,1105570.2413678668,1281531.810918068
163,-73.12011310798391,7.140991805123469,1105760.2863366222,1281528.3131586518
164,-73.1164848395947,7.140927540954415,1106161.1407550902,1281522.0393996988
165,-73.12313367234854,7.140874580646869,1105426.6111212494,1281514.655240931
166,-73.11658382864621,7.140933770628122,1106150.203314586,1281522.7056395877
167,-73.11952577275372,7.140922319560202,1105825.1892196124,1281520.762439912
168,-73.12186437164806,7.140807702642617,1105566.8546477107,1281507.5486821171
169,-73.12010897342324,7.140805067587271,1105760.7860166454,1281507.6597220986
170,-73.11958083760267,7.140784395024524,1105819.1375393337,1281505.4944424601
171,-73.12109647160966,7.140810127270268,1105651.689211619,1281507.992842043
172,-73.11793191664081,7.140812592251562,1106001.2986677259,1281508.9922018764
173,-73.11628871922521,7.140747431102818,1106182.8490760901,1281502.163243016
174,-73.11930748673423,7.140767262788738,1105849.340420725,1281503.6622827658
175,-73.12290519968828,7.140784257187652,1105451.8727224134,1281504.7171625898
176,-73.1228318746564,7.140761517285111,1105459.9786427869,1281502.2187630066
177,-73.12308582016533,7.140685242751748,1105431.941041495,1281493.7242044243
178,-73.11765174799974,7.140691037345256,1106032.2788291532,1281495.6118841094
179,-73.12110138143774,7.140623910395724,1105651.1895315961,1281487.3949254807
180,-73.11793163591769,7.140706176305975,1106001.3541877286,1281497.2219638405
181,-73.12012180120944,7.14067809843323,1105759.3980165813,1281493.6131644428
182,-73.11970416622833,7.140686266982231,1105805.535138707,1281494.6125242761
183,-73.11952177318156,7.140670829556537,1105825.6888996353,1281492.9469245542
184,-73.12322353886395,7.1406754883931445,1105416.7285607941,1281492.6138046097
185,-73.12079785995661,7.140615249826508,1105684.723613141,1281486.5066056289
186,-73.11930975081312,7.140645291343603,1105849.1183407148,1281490.1709250174
187,-73.11857332389245,7.140014304454829,1105930.62170447,1281420.5488566365
188,-73.12191452704806,7.1406135480658275,1105561.3581674574,1281486.062445703
189,-73.12168936525656,7.140623120907176,1105586.2311286035,1281487.1728455178
190,-73.1176931776188,7.140585210130072,1106027.7261889435,1281483.8971660645
191,-73.12229652823575,7.140582715541924,1105519.1629655135,1281482.5646862867
192,-73.12065425161323,7.14055722669094,1105700.6023338726,1281480.1218066944
193,-73.12198749426864,7.140566514947127,1105553.3077670864,1281480.843566574
194,-73.12021645846218,7.140592459735162,1105748.9602561004,1281484.1192460274
195,-73.11972503463733,7.140317872015214,1105803.3143386047,1281453.8608510771
196,-73.12165228936075,7.1405688324478485,1105590.3396087927,1281481.1766865184
197,-73.1212748643085,7.1405740739708685,1105632.0351307136,1281481.8429264072
198,-73.12006225394498,7.140554994784747,1105766.0048968857,1281480.010766713
199,-73.11619637292986,7.1404480711500105,1106193.1202765633,1281469.0733285383
